epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.225,1.64044,3.56963,1.75072,0.33613,0.15652,0.18235,0.09963,1.48796,3.2713,1.65981,4.998e-05,4.998e-05,4.998e-05
2,150.86,1.41946,2.51261,1.61105,0.41464,0.35234,0.30269,0.17399,1.39439,4.05713,1.54886,0.000104979,0.000104979,0.000104979
3,224.03,1.24216,1.89091,1.43469,0.35931,0.3661,0.33405,0.19523,1.36225,3.43847,1.52408,0.000157717,0.000157717,0.000157717
4,295.913,1.21526,1.64241,1.40625,0.56887,0.34684,0.36922,0.21074,1.35019,3.23123,1.53014,0.000208192,0.000208192,0.000208192
5,366.322,1.16616,1.59979,1.37775,0.62841,0.37794,0.43857,0.25296,1.38337,2.93674,1.56234,0.000256406,0.000256406,0.000256406
6,437.617,1.17599,1.52781,1.39241,0.45398,0.47042,0.40909,0.24293,1.53129,2.27153,1.6594,0.000302358,0.000302358,0.000302358
7,508.862,1.1598,1.46608,1.35141,0.53696,0.43793,0.43226,0.24144,1.58269,2.43818,1.74825,0.000346047,0.000346047,0.000346047
8,580.194,1.16643,1.41897,1.35617,0.60412,0.44533,0.45536,0.25411,1.46741,2.58874,1.60285,0.000387475,0.000387475,0.000387475
9,651.431,1.13434,1.25104,1.32608,0.43998,0.44626,0.40537,0.22418,1.46143,2.66947,1.58305,0.000426641,0.000426641,0.000426641
10,723.89,1.13297,1.2718,1.32912,0.57826,0.39691,0.40948,0.22563,1.58487,2.59894,1.74087,0.000463545,0.000463545,0.000463545
11,796.095,1.18377,1.28911,1.31728,0.68464,0.40239,0.45265,0.26167,1.60059,2.16351,1.74,0.000498186,0.000498186,0.000498186
12,869.116,1.11823,1.22825,1.31041,0.58902,0.43052,0.39175,0.20878,1.54668,2.629,1.68678,0.000530566,0.000530566,0.000530566
13,940.474,1.12019,1.29378,1.33576,0.52538,0.35417,0.38278,0.21543,1.5818,2.25217,1.66556,0.000544354,0.000544354,0.000544354
14,1014.3,1.10629,1.17716,1.28581,0.72677,0.43118,0.47715,0.24945,1.63964,2.07895,1.72895,0.000530216,0.000530216,0.000530216
15,1087.96,1.05092,1.09553,1.26996,0.72209,0.45135,0.50701,0.29261,1.52739,1.7944,1.69013,0.000516079,0.000516079,0.000516079
16,1159.23,1.0613,1.07829,1.25823,0.58101,0.54018,0.51858,0.28724,1.55307,1.8955,1.72761,0.000501942,0.000501942,0.000501942
17,1230.29,1.02439,1.0622,1.23681,0.77976,0.46823,0.51209,0.27144,1.55498,2.0283,1.64845,0.000487805,0.000487805,0.000487805
18,1302.17,0.98758,0.98883,1.2141,0.61267,0.53663,0.55752,0.31209,1.5947,1.69824,1.64599,0.000473668,0.000473668,0.000473668
19,1373.3,0.99463,1.03607,1.23304,0.75269,0.49592,0.54873,0.30329,1.63546,1.694,1.65423,0.00045953,0.00045953,0.00045953
20,1445.4,0.9993,1.0025,1.24278,0.7191,0.47754,0.54949,0.30242,1.65294,1.63931,1.66245,0.000445393,0.000445393,0.000445393
21,1517.57,0.95589,0.90026,1.19737,0.80482,0.51595,0.56209,0.31452,1.53024,1.57973,1.6448,0.000431256,0.000431256,0.000431256
22,1589.32,0.93869,0.89323,1.19977,0.80651,0.48084,0.5568,0.31305,1.50022,1.60161,1.6152,0.000417119,0.000417119,0.000417119
23,1662.86,0.92759,0.86699,1.17912,0.57072,0.5124,0.54946,0.32574,1.4331,1.60643,1.57157,0.000402982,0.000402982,0.000402982
