epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2158.93,0.9671,1.10821,1.20098,0.68825,0.52627,0.57579,0.32921,1.35897,1.46163,1.39844,0.000230979,0.000230979,0.000230979
43,2209.31,0.93317,1.0935,1.18438,0.70903,0.50985,0.57263,0.3316,1.34031,1.44554,1.39441,0.000219198,0.000219198,0.000219198
44,2258.46,0.96825,1.08848,1.21473,0.72017,0.50527,0.57113,0.32499,1.36322,1.48372,1.41171,0.000207417,0.000207417,0.000207417
45,2308.77,0.92087,1.06435,1.19379,0.72856,0.51714,0.57611,0.32976,1.35672,1.4596,1.40008,0.000195636,0.000195636,0.000195636
46,2358.28,0.92519,1.05709,1.18189,0.73091,0.51882,0.58334,0.33897,1.3374,1.41636,1.38697,0.000183855,0.000183855,0.000183855
47,2404.1,0.94184,1.07461,1.19126,0.72342,0.52731,0.58583,0.33695,1.3472,1.4166,1.39441,0.000172074,0.000172074,0.000172074
48,2452.91,0.91672,1.02832,1.16536,0.74046,0.52438,0.59016,0.34208,1.3382,1.40146,1.38159,0.000160293,0.000160293,0.000160293
49,2503.59,0.92495,1.05429,1.18003,0.72597,0.53127,0.59299,0.34185,1.34368,1.40611,1.3846,0.000148512,0.000148512,0.000148512
50,2554.5,0.89987,1.03655,1.17123,0.72376,0.53501,0.59604,0.34815,1.33137,1.39671,1.3833,0.000136731,0.000136731,0.000136731
51,2605.24,0.93266,1.07015,1.19224,0.74275,0.5202,0.59101,0.3426,1.34593,1.43558,1.39396,0.00012495,0.00012495,0.00012495
52,2652.63,0.92551,1.04038,1.1999,0.73342,0.50858,0.57502,0.33079,1.38098,1.52786,1.42465,0.000113169,0.000113169,0.000113169
53,2699.91,0.92449,1.03503,1.17852,0.74145,0.51583,0.58336,0.33929,1.35078,1.44807,1.39593,0.000101388,0.000101388,0.000101388
54,2746.12,0.89239,0.98669,1.17292,0.73505,0.52,0.58936,0.34429,1.33323,1.402,1.37087,8.9607e-05,8.9607e-05,8.9607e-05
55,2791.8,0.87581,0.95023,1.1467,0.73501,0.53278,0.59406,0.34689,1.33433,1.4002,1.36517,7.7826e-05,7.7826e-05,7.7826e-05
56,2837.64,0.8743,0.92981,1.15777,0.73308,0.53613,0.59572,0.3465,1.33373,1.39288,1.36605,6.6045e-05,6.6045e-05,6.6045e-05
57,2883.76,0.87055,0.94693,1.14707,0.74094,0.53584,0.59755,0.34859,1.32807,1.38321,1.36272,5.4264e-05,5.4264e-05,5.4264e-05
58,2931.29,0.85438,0.93236,1.13699,0.73173,0.5439,0.59999,0.35093,1.32352,1.37386,1.36034,4.2483e-05,4.2483e-05,4.2483e-05
59,2983.55,0.86106,0.93587,1.14814,0.74648,0.53658,0.60011,0.35148,1.32222,1.36874,1.36002,3.0702e-05,3.0702e-05,3.0702e-05
60,3035.34,0.86387,0.9358,1.14553,0.74868,0.53941,0.602,0.35275,1.31948,1.36406,1.35915,1.8921e-05,1.8921e-05,1.8921e-05
